@relation restaurant#miscellaneous

@attribute id numeric
@attribute words string
@attribute lemmas string
@attribute pos string
@attribute bigrams string
@attribute feature_appearance_of_type1 numeric
@attribute feature_appearance_of_type2 numeric
@attribute feature_appearance_of_type3 numeric
@attribute feature_appearance_of_type4 numeric
@attribute feature_appearance_of_type5 numeric
@attribute feature_appearance_of_type6 numeric
@attribute feature_appearance_of_type7 numeric
@attribute feature_appearance_of_type8 numeric
@attribute feature_appearance_of_type9 numeric
@attribute feature_appearance_of_type10 numeric
@attribute feature_appearance_of_type11 numeric
@attribute feature_appearance_of_type12 numeric
@attribute aspecttype {true, false}

@data
7826,'get delish martini glass (thats drinks) $8.50 (I recommend Vanilla Shanty, mmmm!) great homey setting with great music. ','get delish martini glass recommend vanilla ','VB JJ NNS NN     VBP NNP         ','get_delish delish_martini martini_glass glass_(thats (thats_drinks) drinks)_$8.50 $8.50_(I (I_recommend recommend_Vanilla Vanilla_Shanty, Shanty,_mmmm!) mmmm!)_great great_homey homey_setting setting_with with_great great_music. ',3,1,1,1,3,1,1,2,1,1,2,1,false
7838,'You can get completely delish martini glass (thats about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) great homey setting great music. ','great homey set great ','                    JJ NN VBG JJ  ','You_can can_get get_completely completely_delish delish_martini martini_glass glass_(thats (thats_about about_2 2_1/2 1/2_drinks) drinks)_for for_$8.50 $8.50_(I (I_recommend recommend_the the_Vanilla Vanilla_Shanty, Shanty,_mmmm!) mmmm!)_great great_homey homey_setting setting_great great_music. ',2,1,1,1,2,1,1,1,1,1,2,1,false
7850,'in-house lady DJ Saturday nights has good taste music, moreover, takes requests. ','in-house lady dj saturday night have good taste take ','JJ NN NNP NNP NNS VBZ JJ NN   VBZ  ','in-house_lady lady_DJ DJ_Saturday Saturday_nights nights_has has_good good_taste taste_music, music,_moreover, moreover,_takes takes_requests. ',2,2,1,2,3,2,1,1,2,2,2,1,false
7862,'cant go wrong place. ','go wrong ',' VB JJ  ','cant_go go_wrong wrong_place. ',4,1,2,0,2,0,0,0,0,2,2,0,false
7874,'Suan is great place take friends (classmates) too. ','suan be great place take friend ','NNP VBZ JJ NN VBP NNS   ','Suan_is is_great great_place place_take take_friends friends_(classmates) (classmates)_too. ',4,2,2,1,3,1,1,1,1,2,3,1,false
7886,'location is good fact Hutner College is near prices are reasonable, makes students go Suan again. ','location be good fact hutner college be near price be make student go suan ','NN VBZ JJ NN NNP NNP VBZ JJ NNS VBP  VBZ NNS VB NNP  ','location_is is_good good_fact fact_Hutner Hutner_College College_is is_near near_prices prices_are are_reasonable, reasonable,_makes makes_students students_go go_Suan Suan_again. ',5,4,1,3,5,2,1,1,2,4,4,1,false
7898,'LOVE Thai ','love thai ','VBP NNP ','LOVE_Thai ',3,1,1,1,2,1,1,1,1,1,1,1,false
7910,'noodles shrimp chicken coconut juice is MUST! ','noodle shrimp chicken coconut juice be ','NNS NN NN NN NN VBZ  ','noodles_shrimp shrimp_chicken chicken_coconut coconut_juice juice_is is_MUST! ',2,1,1,1,3,1,1,1,1,1,1,1,false
7922,'course past months, chef staff changed was better. ','course past chef staff change be ','NN JJ  NN NN VBN VBD  ','course_past past_months, months,_chef chef_staff staff_changed changed_was was_better. ',1,1,1,1,2,1,1,1,1,2,2,1,false
7934,'wish change was before. ','wish change be ','VBP VB VBD  ','wish_change change_was was_before. ',5,1,1,1,3,1,1,1,1,3,3,1,false
7946,'food is inconsistent. ','food be ','NN VBZ  ','food_is is_inconsistent. ',2,2,1,2,3,2,1,1,1,2,2,1,false
7958,'is kind place youd like take friends keep secret. ','be kind place like take friend keep ','VBZ NN NN  VB VB NNS VB  ','is_kind kind_place place_youd youd_like like_take take_friends friends_keep keep_secret. ',5,2,4,1,4,1,1,1,1,4,4,1,true
7970,'setting is casual romantic. ','setting be casual ','NN VBZ JJ  ','setting_is is_casual casual_romantic. ',1,1,1,1,1,1,1,1,1,2,1,1,false
7982,'Prices are good. ','price be ','NNS VBP  ','Prices_are are_good. ',1,3,0,2,4,1,0,0,1,1,2,0,false
7994,'food is excellent! ','food be ','NN VBZ  ','food_is is_excellent! ',2,2,1,2,3,2,1,1,1,2,3,1,false
8006,'youre daring, try balsamic vinegar icecream, its wonderful! ','try balsamic vinegar ','  VB JJ NN    ','youre_daring, daring,_try try_balsamic balsamic_vinegar vinegar_icecream, icecream,_its its_wonderful! ',3,2,1,1,5,1,1,1,1,4,3,1,false
8018,'Do get Go Go Hamburgers, reviews say. ','do get go go review ','VB VB NNP NNP  NNS  ','Do_get get_Go Go_Go Go_Hamburgers, Hamburgers,_reviews reviews_say. ',4,1,1,1,2,1,1,1,1,1,2,2,false
8030,'were rip-off ($8.95 small meat patties steamed buns) worth trying. ','be small meat patty steam worth ','VBD   JJ NN NNS VBN  JJ  ','were_rip-off rip-off_($8.95 ($8.95_small small_meat meat_patties patties_steamed steamed_buns) buns)_worth worth_trying. ',3,2,1,2,5,2,1,1,1,2,2,1,false
8042,'rest dim sum, pricey Chinatown standards, is worth it. ','rest dim pricey chinatown be worth ','NN JJ  JJ NNP  VBZ JJ  ','rest_dim dim_sum, sum,_pricey pricey_Chinatown Chinatown_standards, standards,_is is_worth worth_it. ',3,3,1,3,5,1,1,1,1,1,3,1,false
8054,'Steamed fresh brought hot hot hot table. ','steamed fresh bring hot hot hot ','NNP JJ VBD NN NN NN  ','Steamed_fresh fresh_brought brought_hot hot_hot hot_hot hot_table. ',0,0,0,0,2,0,0,0,0,0,2,0,false
8066,'wait is long dim sum, dont like sharing tables typical raucous dim sum atmosphere is gig, is sleek (for Chinatown) alternative. ','wait be long dim like share table typical raucous dim sum atmosphere be be sleek ','NN VBZ JJ JJ   VB VBG NNS JJ JJ JJ NN NN VBZ  VBZ JJ    ','wait_is is_long long_dim dim_sum, sum,_dont dont_like like_sharing sharing_tables tables_typical typical_raucous raucous_dim dim_sum sum_atmosphere atmosphere_is is_gig, gig,_is is_sleek sleek_(for (for_Chinatown) Chinatown)_alternative. ',5,1,3,1,5,1,1,1,1,5,7,1,true
8078,'few tips: skip turnip cake, roast pork buns egg custards. ','few skip turnip roast pork bun egg ','JJ  VB NN  NN NN NNS NN  ','few_tips: tips:_skip skip_turnip turnip_cake, cake,_roast roast_pork pork_buns buns_egg egg_custards. ',1,1,1,1,2,1,1,1,1,1,1,1,false
8090,'are overpriced get corner: ','be overpriced get ','VBP JJ VB  ','are_overpriced overpriced_get get_corner: ',2,2,1,3,3,1,1,1,1,1,3,1,false
8102,'choose go special, braised lamb shank red wine, was excellent. ','choose go braise lamb shank red be ','VBP VB  VBN NN NN JJ  VBD  ','choose_go go_special, special,_braised braised_lamb lamb_shank shank_red red_wine, wine,_was was_excellent. ',2,1,2,1,4,1,2,2,2,1,4,1,false
8114,'service was friendly atmosphere was casual. ','service be friendly atmosphere be ','NN VBD JJ NN VBD  ','service_was was_friendly friendly_atmosphere atmosphere_was was_casual. ',1,2,1,1,2,2,1,1,1,3,5,1,false
8126,'restaurant is bit noisy is something be overlooked sit enjoy great meal ','restaurant be bit noisy be something be overlook sit enjoy great meal ','NN VBZ NN JJ VBZ NN VB VBN VBP VB JJ NN ','restaurant_is is_bit bit_noisy noisy_is is_something something_be be_overlooked overlooked_sit sit_enjoy enjoy_great great_meal ',5,3,3,2,6,2,2,2,2,3,5,2,false
8138,'little place has cute interior decor affordable city prices. ','little place have cute interior decor affordable city ','JJ NN VBZ JJ JJ NN JJ NN  ','little_place place_has has_cute cute_interior interior_decor decor_affordable affordable_city city_prices. ',3,4,2,1,7,0,0,0,0,5,5,0,false
8150,'pad chicken was delicious, pad thai was oily. ','pad chicken be pad thai be ','NN NN VBD  NN NN VBD  ','pad_chicken chicken_was was_delicious, delicious,_pad pad_thai thai_was was_oily. ',1,1,1,1,6,1,1,1,1,2,1,1,false
8162,'fails please. ','fail ','VBZ  ','fails_please. ',1,0,0,0,2,0,0,0,0,0,1,0,false
8174,'delicious bagels, right oven. ','delicious right ','JJ  JJ  ','delicious_bagels, bagels,_right right_oven. ',1,1,2,1,4,1,1,1,1,2,2,1,false
8186,'Spreads toppings are great bit pricey. ','spread topping be great bit ','NNS NNS VBP JJ NN  ','Spreads_toppings toppings_are are_great great_bit bit_pricey. ',2,2,1,2,6,1,1,1,1,1,5,1,false
8198,'Service is fast friendly. ','service be fast ','NN VBZ JJ  ','Service_is is_fast fast_friendly. ',0,1,0,0,1,1,0,0,0,1,5,0,false
8210,'drawback wont toast bagel, dont make eggs bagel. ','drawback toast make egg ','NN  VB   VB NNS  ','drawback_wont wont_toast toast_bagel, bagel,_dont dont_make make_eggs eggs_bagel. ',4,1,1,1,4,1,1,1,1,4,4,1,false
8222,'is forgivable. ','be ','VBZ  ','is_forgivable. ',2,0,0,0,1,0,0,0,0,0,0,0,false
8234,'Been there, done that, New York, its big deal. ','be do new big ','VBN  VBN  NNP   JJ  ','Been_there, there,_done done_that, that,_New New_York, York,_its its_big big_deal. ',3,1,1,1,5,1,1,1,1,3,3,1,false
8246,'food is decent best, ambience, well, its matter opinion, consider be sweet thing, thought was annoying. ','food be decent matter consider be sweet think be ','NN VBZ JJ     NN  VB VB JJ  VBD VBD  ','food_is is_decent decent_best, best,_ambience, ambience,_well, well,_its its_matter matter_opinion, opinion,_consider consider_be be_sweet sweet_thing, thing,_thought thought_was was_annoying. ',4,2,1,2,8,2,1,1,1,6,6,1,false
8258,'celebrities make sweat, in ride, most parts youll yawn wonder whats hype. ','celebrity make in most part yawn wonder ','NNS VBP  NN  JJS NNS  VB VB   ','celebrities_make make_sweat, sweat,_in in_ride, ride,_most most_parts parts_youll youll_yawn yawn_wonder wonder_whats whats_hype. ',4,1,2,1,4,1,1,1,1,3,3,1,true
8270,'Rao is good restaurant, its nothing special. ','rao be good nothing ','NNP VBZ JJ   NN  ','Rao_is is_good good_restaurant, restaurant,_its its_nothing nothing_special. ',3,2,2,1,7,1,0,0,1,4,4,0,false
8282,'Great food, great prices, great service. ','great great great ','JJ  JJ  JJ  ','Great_food, food,_great great_prices, prices,_great great_service. ',4,6,1,3,9,3,1,1,1,4,8,1,false
8294,'are looking good quality, cheap eats is place. ','be look good cheap eats be ','VBP VBG JJ  JJ NNS VBZ  ','are_looking looking_good good_quality, quality,_cheap cheap_eats eats_is is_place. ',5,3,3,2,5,2,1,1,2,4,5,1,false
8306,'its perfect place have amanzing indian food. ','perfect place have amanzing indian ',' JJ NN VB JJ JJ  ','its_perfect perfect_place place_have have_amanzing amanzing_indian indian_food. ',3,2,1,1,8,1,0,0,0,4,3,0,false
8318,'loved different inovated touch thats cheff gives food. ','love different inovated touch cheff give ','VBD JJ JJ NN  NN VBZ  ','loved_different different_inovated inovated_touch touch_thats thats_cheff cheff_gives gives_food. ',5,2,1,2,7,2,1,1,1,3,4,1,false
8330,'its great have dinner romantic confortable place, service its perfect.theyre frendly want live place! ','great have dinner romantic confortable service frendly want live ',' JJ VB NN JJ JJ  NN   JJ VBP VB  ','its_great great_have have_dinner dinner_romantic romantic_confortable confortable_place, place,_service service_its its_perfect.theyre perfect.theyre_frendly frendly_want want_live live_place! ',7,4,3,2,12,3,2,2,2,7,10,2,false
8342,'waiter was attentive. ','waiter be ','NN VBD  ','waiter_was was_attentive. ',2,1,1,1,1,1,1,1,1,1,5,1,false
8354,'place is beautiful bar scene seems be happening. ','place be beautiful bar scene seem be ','NN VBZ JJ NN NN VBZ VB  ','place_is is_beautiful beautiful_bar bar_scene scene_seems seems_be be_happening. ',2,2,2,1,2,1,1,1,1,3,2,1,false
8366,'Downtown Dinner Prixe fix: Appetizers were ok, waiter gave poor potato stuff best one. ','downtown dinner prixe appetizers be waiter give poor potato stuff good ','NN NN NNP  NNP VBD  NN VBD JJ NN NN JJS  ','Downtown_Dinner Dinner_Prixe Prixe_fix: fix:_Appetizers Appetizers_were were_ok, ok,_waiter waiter_gave gave_poor poor_potato potato_stuff stuff_best best_one. ',5,1,1,1,5,1,1,1,1,1,5,1,false
8378,'Small servings main entree, had salmon (wasnt impressed) girlfriend had chicken, was good. ','small serving main have salmon girlfriend have be ','JJ NNS JJ  VBD NN   NN VBD  VBD  ','Small_servings servings_main main_entree, entree,_had had_salmon salmon_(wasnt (wasnt_impressed) impressed)_girlfriend girlfriend_had had_chicken, chicken,_was was_good. ',1,1,0,1,4,2,0,0,1,2,1,0,false
8390,'Dessert is joke.dont bother ','dessert be joke.dont bother ','NNP VBZ NNP NN ','Dessert_is is_joke.dont joke.dont_bother ',1,1,1,1,1,1,1,1,1,1,1,1,false
8402,'Volare virgins weekly regulars, everyone gets treated same cant ask more service is friendly. ','volare virgin weekly everyone get treat same ask more service be ','NNP NNS JJ  NN VBZ VBN JJ  VB JJR NN VBZ  ','Volare_virgins virgins_weekly weekly_regulars, regulars,_everyone everyone_gets gets_treated treated_same same_cant cant_ask ask_more more_service service_is is_friendly. ',5,2,2,1,6,2,1,1,1,3,9,1,false
8414,'restaurant has Family feel, regard portions are enormous; veal have single-handedly solved third world famine. ','restaurant have family regard portion be veal have solve #ord# world ','NN VBZ NNP  NN NNS VBP  NN VB  VBN JJ NN  ','restaurant_has has_Family Family_feel, feel,_regard regard_portions portions_are are_enormous; enormous;_veal veal_have have_single-handedly single-handedly_solved solved_third third_world world_famine. ',3,2,2,1,5,2,1,1,1,3,4,1,false
8426,'anti-pasta was excellent, calamari, were filling pasta mains. ','anti-pasta be be fill pasta ','NN VBD   VBD VBG NN  ','anti-pasta_was was_excellent, excellent,_calamari, calamari,_were were_filling filling_pasta pasta_mains. ',1,1,2,1,4,1,1,1,1,1,2,1,false
8438,'wine list is extensive hike priced meal. ','wine list be extensive hike price ','NN NN VBZ JJ VB VBN  ','wine_list list_is is_extensive extensive_hike hike_priced priced_meal. ',1,2,1,2,2,1,2,2,3,1,3,1,false
8450,'Still, quibbles bill were off-set pour-your-own measures liquers were house. ','quibble bill be measure liquers be ',' NNS NN VBD   NNS NNS VBD  ','Still,_quibbles quibbles_bill bill_were were_off-set off-set_pour-your-own pour-your-own_measures measures_liquers liquers_were were_house. ',1,1,1,1,2,1,1,1,1,1,1,1,false
8462,'Fantastic place. ','fantastic ','JJ  ','Fantastic_place. ',2,1,1,0,2,0,0,0,0,1,1,0,false
8474,'Cute decorative. ','cute ','JJ  ','Cute_decorative. ',0,0,0,0,1,0,0,0,0,2,1,0,false
8486,'pleasant surprise. ','pleasant ','JJ  ','pleasant_surprise. ',0,0,0,0,0,0,0,0,0,0,0,0,false
8498,'Go relax feel somewhere else. ','go relax feel somewhere ','VB VB VB NN  ','Go_relax relax_feel feel_somewhere somewhere_else. ',2,1,2,1,3,1,1,1,1,3,3,1,false
8510,'Lucky Strike is great casual place grab bite eat. ','lucky strike be great casual place grab bite ','JJ NN VBZ JJ JJ NN VB NN  ','Lucky_Strike Strike_is is_great great_casual casual_place place_grab grab_bite bite_eat. ',3,2,2,1,4,1,1,1,1,2,3,1,false
8522,'is perfect spot meeting friends, having lunch, dinner, pre-theatre after-theatre drinks! ','be perfect spot meeting have pre-theatre ','VBZ JJ NN NN  VBG   JJ   ','is_perfect perfect_spot spot_meeting meeting_friends, friends,_having having_lunch, lunch,_dinner, dinner,_pre-theatre pre-theatre_after-theatre after-theatre_drinks! ',3,1,2,1,3,1,1,2,1,2,2,1,true
8534,'(Always ask bartender SEASONAL beer!!! ','ask bartender seasonal ',' VB NN NNP  ','(Always_ask ask_bartender bartender_SEASONAL SEASONAL_beer!!! ',3,1,1,1,3,1,1,1,1,1,2,1,false
8546,'Guaranteed be tasty experience!) ','guarantee be tasty ','VBN VB JJ  ','Guaranteed_be be_tasty tasty_experience!) ',1,0,0,0,1,0,0,0,0,0,0,0,false
8558,'The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality). ','','                   ','The_Prix Prix_Fixe Fixe_menu menu_is is_worth worth_every every_penny penny_and and_you you_get get_more more_than than_enough enough_(both (both_in in_quantity quantity_AND AND_quality). ',0,0,0,0,0,0,0,0,0,0,0,0,false
8570,'Excellent spot holiday get togethers co-workers friends havent seen while. ','excellent spot holiday get togethers co-worker friend see ','JJ NN NN VBP NNS NNS NNS  VBN  ','Excellent_spot spot_holiday holiday_get get_togethers togethers_co-workers co-workers_friends friends_havent havent_seen seen_while. ',3,1,1,1,2,1,1,1,1,1,3,1,true
8582,'have been doing above Heartland Brewery years HAVE BEEN DISAPPOINTED! ','have be do above heartland brewery year have be ','VBP VBN VBG JJ NNP NNP NNS VBP VBN  ','have_been been_doing doing_above above_Heartland Heartland_Brewery Brewery_years years_HAVE HAVE_BEEN BEEN_DISAPPOINTED! ',2,1,1,1,3,1,1,1,1,1,2,1,false
8594,'people bring go own bring friends! ','people bring go own bring ','NNS VB VB JJ VB  ','people_bring bring_go go_own own_bring bring_friends! ',3,1,1,1,1,1,1,1,1,2,2,1,true
8606,'Go yes.you go back.you will. ','go yes.you go back.you ','VB NN VB NNP  ','Go_yes.you yes.you_go go_back.you back.you_will. ',4,1,1,1,1,1,1,1,1,2,1,1,false
8618,'great place! ','great ','JJ  ','great_place! ',4,2,2,1,3,1,1,1,1,2,3,1,false
8630,'typical NYC gimmick theme restaurant. ','typical nyc gimmick theme ','JJ NNP NN NN  ','typical_NYC NYC_gimmick gimmick_theme theme_restaurant. ',2,2,2,1,2,1,1,1,1,2,2,1,false
8642,'cool bar great food, tons excellent beer. ','cool bar great ton excellent ','JJ NN JJ  NNS JJ  ','cool_bar bar_great great_food, food,_tons tons_excellent excellent_beer. ',4,3,1,2,5,2,1,1,1,4,5,1,false
8654,'its Pub atmosphere were great kids too! ','pub atmosphere be great kid ',' JJ NN VBD JJ NNS  ','its_Pub Pub_atmosphere atmosphere_were were_great great_kids kids_too! ',4,2,2,2,7,2,2,2,2,5,7,2,false
8666,'Loved it! ','love ','VBD  ','Loved_it! ',3,0,0,0,0,0,0,0,0,0,0,0,false
8678,'is expensive worth money. ','be expensive worth ','VBZ JJ JJ  ','is_expensive expensive_worth worth_money. ',4,2,1,2,5,1,1,1,1,1,2,1,false
8690,'venture island Manhattan cant seem find great Italian restaurant, drive Corona. ','venture island manhattan seem find great italian drive ','VBP NN NNP  VB VB JJ JJ  VB  ','venture_island island_Manhattan Manhattan_cant cant_seem seem_find find_great great_Italian Italian_restaurant, restaurant,_drive drive_Corona. ',6,3,3,2,4,2,2,2,2,3,4,2,false
8702,'only thing wonderful food (which is exceptional) is service. ','only thing wonderful food be be ','JJ NN JJ NN  VBZ  VBZ  ','only_thing thing_wonderful wonderful_food food_(which (which_is is_exceptional) exceptional)_is is_service. ',2,3,1,2,5,3,1,1,1,3,6,1,false
8714,'only thing waiters dont do is wipe chin leave. ','only thing waiter do be wipe chin ','JJ NN NNS  VB VBZ VB NN  ','only_thing thing_waiters waiters_dont dont_do do_is is_wipe wipe_chin chin_leave. ',3,1,1,1,2,1,1,1,1,2,7,1,false
8726,'Wonderful holiday time. ','wonderful holiday ','JJ NN  ','Wonderful_holiday holiday_time. ',1,0,1,0,1,0,0,0,0,0,1,0,true
8738,'Cozy romantic atomosphere tables most. ','cozy romantic atomosphere table ','JJ JJ NN NNS  ','Cozy_romantic romantic_atomosphere atomosphere_tables tables_most. ',0,0,0,0,0,0,0,0,0,1,1,0,false
8750,'Service was prompt rushed. ','service be prompt ','NNP VBD JJ  ','Service_was was_prompt prompt_rushed. ',0,1,0,0,2,1,0,0,0,1,2,0,false
8762,'Food was good, consider world. ','food be consider ','NN VBD  VB  ','Food_was was_good, good,_consider consider_world. ',5,2,1,2,7,2,0,0,1,4,4,0,false
8774,'Go romantic dinner dining experience. ','go romantic dinner dining ','VB JJ NN NN  ','Go_romantic romantic_dinner dinner_dining dining_experience. ',2,0,0,0,1,0,0,0,0,1,0,0,true
8786,'friend Milan were surprised arrived everyone spoke italian. ','friend milan be surprised arrive everyone speak ','NN NNP VBD JJ VBD NN VBD  ','friend_Milan Milan_were were_surprised surprised_arrived arrived_everyone everyone_spoke spoke_italian. ',1,0,0,0,2,0,0,0,0,0,2,0,true
8798,'bad food wasnt same heritage. ','bad food same ','JJ NN  JJ  ','bad_food food_wasnt wasnt_same same_heritage. ',2,2,1,2,5,2,1,1,1,2,3,1,false
8810,'porcini mushroom pasta special was tasteless, was seafood tagliatelle. ','porcini mushroom pasta special be be seafood ','JJ NN NN NN VBD  VBD NN  ','porcini_mushroom mushroom_pasta pasta_special special_was was_tasteless, tasteless,_was was_seafood seafood_tagliatelle. ',2,2,2,2,5,2,1,1,1,2,2,1,false
8822,'real dissapointment. ','real ','JJ  ','real_dissapointment. ',0,0,0,0,1,0,0,0,0,0,0,0,false
8834,'wasnt icing cake: tiramisu resembled nothing have had. ','icing tiramisu resemble nothing have ',' NN  NN VBD NN VBP  ','wasnt_icing icing_cake: cake:_tiramisu tiramisu_resembled resembled_nothing nothing_have have_had. ',1,1,1,1,5,1,1,1,1,1,2,1,false
8846,'have called mascarpone chocolate chips-good far cry name implies. ','have call mascarpone chocolate far cry name ','VB VBN NN NN  JJ NN NN  ','have_called called_mascarpone mascarpone_chocolate chocolate_chips-good chips-good_far far_cry cry_name name_implies. ',4,2,1,2,5,2,1,1,2,2,4,1,false
8858,'Priced upper intermediate range. ','price upper intermediate ','VBN JJ JJ  ','Priced_upper upper_intermediate intermediate_range. ',0,1,0,1,1,0,0,0,0,0,1,0,false
8870,'liked place. ','like ','VBD  ','liked_place. ',5,1,3,0,5,0,0,0,0,4,4,0,false
8882,'Everything had was good, Im eater. ','everything have be ','NN VBD VBD    ','Everything_had had_was was_good, good,_Im Im_eater. ',2,1,0,1,5,1,0,0,1,1,2,0,false
8894,'was inexpensive too. ','be inexpensive ','VBD JJ  ','was_inexpensive inexpensive_too. ',0,0,0,0,1,0,0,0,0,0,0,0,false
8906,'place has best Chinese style BBQ ribs city. ','place have good chinese style bbq rib ','NN VBZ JJS JJ NN NNP NNS  ','place_has has_best best_Chinese Chinese_style style_BBQ BBQ_ribs ribs_city. ',4,2,3,1,4,1,1,1,1,3,4,1,false
8918,'recommend rice dishes different varieties congee (rice porridge). ','recommend rice dish different variety congee ','VBP NN NNS JJ NNS NN   ','recommend_rice rice_dishes dishes_different different_varieties varieties_congee congee_(rice (rice_porridge). ',2,1,1,1,7,1,1,1,1,1,2,1,false
8930,'Its great go quick lunch friend. ','great go quick lunch ',' JJ VB JJ NN  ','Its_great great_go go_quick quick_lunch lunch_friend. ',5,2,2,2,6,2,2,2,2,4,5,2,true
8942,'Its place go want impress someone. ','place go want impress ',' NN VB VBP VB  ','Its_place place_go go_want want_impress impress_someone. ',3,1,1,0,4,0,0,0,0,3,3,0,true
8954,'However, want great food great price dont mind decor, cant beat place. ','want great food great price mind beat ',' VBP JJ NN JJ NN  VB   VB  ','However,_want want_great great_food food_great great_price price_dont dont_mind mind_decor, decor,_cant cant_beat beat_place. ',9,5,4,4,11,3,2,2,2,7,9,2,false
8966,'Quick friendly service. ','quick friendly ','NNP JJ  ','Quick_friendly friendly_service. ',0,1,0,0,2,1,0,0,0,1,4,0,false
8978,'is best comfort food places city. ','be good comfort food place ','VBZ JJS NN NN NNS  ','is_best best_comfort comfort_food food_places places_city. ',7,3,3,2,7,2,1,1,1,4,6,1,false
8990,'Its eat be happy. ','eat be ',' VB VB  ','Its_eat eat_be be_happy. ',1,0,0,0,2,0,0,0,0,2,1,0,false
9002,'food is wonderful, tasty filling, service is professional friendly. ','food be tasty service be professional ','NN VBZ  JJ  NN VBZ JJ  ','food_is is_wonderful, wonderful,_tasty tasty_filling, filling,_service service_is is_professional professional_friendly. ',2,3,1,2,5,3,1,1,1,3,6,1,false
9014,'cant wait summer, serve gigantic patio. ','wait serve gigantic ',' VB  VBP JJ  ','cant_wait wait_summer, summer,_serve serve_gigantic gigantic_patio. ',3,1,1,1,2,1,1,1,1,1,4,1,false
9026,'Warm friendly winter terrific outdoor seating warmer months. ','warm friendly winter terrific outdoor seating warm ','JJ JJ NN JJ JJ NN JJR  ','Warm_friendly friendly_winter winter_terrific terrific_outdoor outdoor_seating seating_warmer warmer_months. ',1,1,1,1,1,1,1,1,1,1,2,1,false
9038,'food is great have good selecion wines reasonable prices. ','food be great have good selecion wine reasonable ','NN VBZ JJ VBP JJ NN NNS JJ  ','food_is is_great great_have have_good good_selecion selecion_wines wines_reasonable reasonable_prices. ',5,7,2,5,10,4,3,3,4,4,8,2,false
9050,'Have been several times dissapoints. ','have be several time ','VBP VBN JJ NNS  ','Have_been been_several several_times times_dissapoints. ',3,0,1,0,3,0,0,0,0,0,2,0,false
9062,'ordered chicken casserole, got were few small pieces chicken, dark meat bone. ','order chicken get be few small piece dark meat ','VBD NN  VBD VBD JJ JJ NNS  JJ NN  ','ordered_chicken chicken_casserole, casserole,_got got_were were_few few_small small_pieces pieces_chicken, chicken,_dark dark_meat meat_bone. ',3,1,1,1,7,2,1,1,1,2,3,1,false
9074,'go again. ','go ','VB  ','go_again. ',2,0,0,0,1,0,0,0,0,1,1,0,false
9086,'ive been sapphire times food was fine, good. ','be sapphire time food be ',' VBN NN NNS NN VBD   ','ive_been been_sapphire sapphire_times times_food food_was was_fine, fine,_good. ',5,3,2,3,7,3,1,1,2,3,4,1,false
9098,'stick chicken, beef, lamb dishes. ','stick lamb ','NN   NN  ','stick_chicken, chicken,_beef, beef,_lamb lamb_dishes. ',1,1,1,1,4,1,1,1,1,1,1,1,false
9110,'service is friendly, had problem walking getting table. ','service be have problem walk get ','NN VBZ  VBD NN VBG VBG  ','service_is is_friendly, friendly,_had had_problem problem_walking walking_getting getting_table. ',2,1,0,0,4,1,0,0,0,1,7,0,true
9122,'food was fresh, sauces were bland oily. ','food be sauce be bland ','NN VBD  NNS VBD JJ  ','food_was was_fresh, fresh,_sauces sauces_were were_bland bland_oily. ',2,2,1,2,6,2,1,1,1,2,2,1,false
9134,'wasnt Thai. ','','  ','wasnt_Thai. ',0,0,0,0,2,0,0,0,0,0,0,0,false
9146,'enough wines glass either. ','enough wine glass ','JJ NNS NN  ','enough_wines wines_glass glass_either. ',1,1,1,1,1,1,2,2,2,1,2,1,false
9158,'Service, however, was excellent.and liked setting/atmosphere lot. ','be excellent.and like ','  VBD VBN VBD   ','Service,_however, however,_was was_excellent.and excellent.and_liked liked_setting/atmosphere setting/atmosphere_lot. ',2,2,2,1,6,2,1,1,1,4,7,1,false
9170,'Food was lowered prices bit, be bigger draw. ','food be lower price be big ','NN VBD VBD NNS  VB JJR  ','Food_was was_lowered lowered_prices prices_bit, bit,_be be_bigger bigger_draw. ',3,4,1,3,8,2,1,1,1,3,5,1,false
9182,'place is great bargain. ','place be great ','NN VBZ JJ  ','place_is is_great great_bargain. ',4,2,3,1,4,1,1,1,1,3,4,1,false
9194,'Authentic Pakistani food. ','authentic pakistani ','JJ JJ  ','Authentic_Pakistani Pakistani_food. ',2,2,1,2,4,2,1,1,1,2,2,1,false
9206,'People are friendly. ','people be ','NNS VBP  ','People_are are_friendly. ',2,0,0,0,2,0,0,0,0,0,4,0,false
9218,'Dont waste money decor. ','waste money ',' VB NN  ','Dont_waste waste_money money_decor. ',2,0,0,0,3,0,0,0,0,2,3,0,false
9230,'cheap, good food. ','good ',' JJ  ','cheap,_good good_food. ',2,2,0,2,4,2,0,0,1,2,2,0,false
9242,'Faan is good. ','faan be ','NNP VBZ  ','Faan_is is_good. ',1,1,0,1,2,1,0,0,1,1,1,0,false
9254,'best pad ive had. ','good pad ','JJS NN   ','best_pad pad_ive ive_had. ',2,1,1,1,5,1,1,1,1,1,2,1,false
9266,'design atmosphere is good. ','design atmosphere be ','NN NN VBZ  ','design_atmosphere atmosphere_is is_good. ',2,2,1,2,3,2,1,1,2,3,3,1,false
